date,center,resource_code,resource_name,stock_qty,sales_qty,stock_available,pending_FC,stock_expected,stock_processing,stock_readytoship,snap_time,selling_speed,coverage_days
2025-09-24,AMZUS,BA00046,히알토인플러딩세럼[30ml/히알토인],"9,601",2,9601,0,0,0,0,,,
2025-09-24,AMZUS,BA00047,NAD+펩타이드부스팅세럼[30ml/NAD+펩타이드],"22,700",3,22700,0,0,0,0,,,
2025-09-24,AMZUS,BA10019,(AMZ)데일리글로우클렌저[210ml/-],"4,381",2,4381,0,0,0,0,,,
2025-09-24,AcrossBUS,BA00021,바쿠치올플럼핑세럼[30ml/-],"4,911",0,,,,,,,,
2025-09-24,AcrossBUS,BA00022,비타민일루미네이팅세럼[30ml/-],45,0,,,,,,,,
2025-09-24,AcrossBUS,BA00023,스위밍풀토너[300ml/-],"10,231",0,,,,,,,,
2025-09-24,AcrossBUS,BA00025,스위밍풀토너패드[220ml|70매/-],3,0,,,,,,,,
2025-09-24,AcrossBUS,BA00026,스위밍풀앰플[50ml/-],66,0,,,,,,,,
2025-09-24,AcrossBUS,BA00027,퍼플라이스포어팩클렌저[130g/-],"2,791",0,,,,,,,,
2025-09-24,AcrossBUS,BA00028,퍼플PDRN포어세럼[30ml/-],"5,607",0,,,,,,,,
2025-09-24,AcrossBUS,BA00029,퍼플라이스포어클렌징오일[200ml/-],"1,466",0,,,,,,,,
2025-09-24,AcrossBUS,BA00030,콜라겐 하이드로겔 마스크[4EA|30g/타이트업],"12,288",0,,,,,,,,
2025-09-24,AcrossBUS,BA00031,콜라겐 하이드로겔 마스크[4EA|30g/글로우업],"6,271",0,,,,,,,,
2025-09-24,AcrossBUS,BA00039,바쿠치올플럼핑캡슐크림[50ml/-],"4,563",0,,,,,,,,
2025-09-24,AcrossBUS,BA10001,(AMZ)토너[300ml/-],24,0,,,,,,,,
2025-09-24,AcrossBUS,BA10019,(AMZ)데일리글로우클렌저[210ml/-],6,0,,,,,,,,
2025-09-24,AcrossBUS,BA10021,(AMZ)바쿠치올플럼핑세럼[30ml/-],3,0,,,,,,,,
2025-09-24,AcrossBUS,BA10022,(AMZ)비타민일루미네이팅세럼[30ml/-],1,0,,,,,,,,
2025-09-24,태광KR,BA00004,클렌저[200ml/-],7,0,,,,,,,,
2025-09-24,태광KR,BA00010,딥크림[70ml/-],2,0,,,,,,,,
2025-09-24,태광KR,BA00012-1,클렌징오일[200ml]_펌프,132,0,,,,,,,,
2025-09-24,태광KR,BA00019,데일리글로우클렌저[210ml/-],"1,230",0,,,,,,,,
2025-09-24,태광KR,BA00021,바쿠치올플럼핑세럼[30ml/-],"75,580",0,,,,,,,,
2025-09-24,태광KR,BA00022,비타민일루미네이팅세럼[30ml/-],"115,276",0,,,,,,,,
2025-09-24,태광KR,BA00023,스위밍풀토너[300ml/-],"67,152",0,,,,,,,,
2025-09-24,태광KR,BA00024,스위밍풀토너[155ml/-],"100,160",0,,,,,,,,
2025-09-24,태광KR,BA00025,스위밍풀토너패드[220ml|70매/-],"16,774",0,,,,,,,,
2025-09-24,태광KR,BA00026,스위밍풀앰플[50ml/-],"14,345",0,,,,,,,,
2025-09-24,태광KR,BA00027,퍼플라이스포어팩클렌저[130g/-],"19,127",0,,,,,,,,
2025-09-24,태광KR,BA00028,퍼플PDRN포어세럼[30ml/-],"34,490",0,,,,,,,,
2025-09-24,태광KR,BA00029,퍼플라이스포어클렌징오일[200ml/-],"17,050",0,,,,,,,,
2025-09-24,태광KR,BA00030,콜라겐 하이드로겔 마스크[4EA|30g/타이트업],"14,208",0,,,,,,,,
2025-09-24,태광KR,BA00031,콜라겐 하이드로겔 마스크[4EA|30g/글로우업],"8,876",0,,,,,,,,
2025-09-24,태광KR,BA00033,스위밍풀토너[샤쉐|2ml/-],"30,095",0,,,,,,,,
2025-09-24,태광KR,BA00033_SET,스위밍풀토너[2ml|100EA|샤쉐/-],109,0,,,,,,,,
2025-09-24,태광KR,BA00034,바쿠치올플럼핑세럼[샤쉐|2ml/-],"30,181",0,,,,,,,,
2025-09-24,태광KR,BA00034_SET,바쿠치올플럼핑세럼[2ml|100EA|샤쉐/-],52,0,,,,,,,,
2025-09-24,태광KR,BA00035,콜라겐 겔 토너 패드[60매|140ml/포어타이트업],"5,420",0,,,,,,,,
2025-09-24,태광KR,BA00036,콜라겐 겔 토너 패드[60매|140ml/글로우업],"6,511",0,,,,,,,,
2025-09-24,태광KR,BA00037,콜라겐 하이드로겔 마스크[1EA|30g/타이트업],166,0,,,,,,,,
2025-09-24,태광KR,BA00038,콜라겐 하이드로겔 마스크[1EA|30g/글로우업],362,0,,,,,,,,
2025-09-24,태광KR,BA00039,바쿠치올플럼핑캡슐크림[50ml/-],"3,746",0,,,,,,,,
2025-09-24,태광KR,BA00041,비타민일루미네이팅세럼[샤쉐|2ml/-],"28,073",0,,,,,,,,
2025-09-24,태광KR,BA00041_SET,비타민일루미네이팅세럼[2ml|100EA|샤쉐/-],78,0,,,,,,,,
2025-09-24,태광KR,BA00042,콜라겐 하이드로겔 마스크[10EA|30g/타이트업],99,0,,,,,,,,
2025-09-24,태광KR,BA00043,콜라겐 하이드로겔 마스크[10EA|30g/글로우업],12,0,,,,,,,,
2025-09-24,태광KR,BA00045,알로에PDRN카밍세럼[30ml/알로에PDRN],"75,007",0,,,,,,,,
2025-09-24,태광KR,BA00046,히알토인플러딩세럼[30ml/히알토인],"77,236",0,,,,,,,,
2025-09-24,태광KR,BA00047,NAD+펩타이드부스팅세럼[30ml/NAD+펩타이드],"76,988",0,,,,,,,,
2025-09-24,태광KR,BA00049,(SET)스위밍풀토너스페셜세트[토너|455ml/토너300ml+토너155ml],"2,400",0,,,,,,,,
2025-09-24,태광KR,BA10001,(AMZ)토너[300ml/-],141,0,,,,,,,,
2025-09-24,태광KR,BA10010,(AMZ)딥크림[70ml/-],1,0,,,,,,,,
2025-09-24,태광KR,BA10019,(AMZ)데일리글로우클렌저[210ml/-],29,0,,,,,,,,
2025-09-24,태광KR,BA10021,(AMZ)바쿠치올플럼핑세럼[30ml/-],65,0,,,,,,,,
2025-09-24,태광KR,BA10022,(AMZ)비타민일루미네이팅세럼[30ml/-],1,0,,,,,,,,
2025-09-25,AMZUS,BA00021,바쿠치올플럼핑세럼[30ml/-],"39,843",392,39843,0,0,0,0,,,
2025-09-25,AMZUS,BA00022,비타민일루미네이팅세럼[30ml/-],"133,779","2,197",133779,0,0,0,0,,,
2025-09-25,AMZUS,BA00023,스위밍풀토너[300ml/-],"23,342",206,23342,0,0,0,0,,,
2025-09-25,AMZUS,BA00024,스위밍풀토너[155ml/-],468,0,468,0,0,0,0,,,
2025-09-25,AMZUS,BA00025,스위밍풀토너패드[220ml|70매/-],"1,259",10,1259,0,0,0,0,,,
2025-09-25,AMZUS,BA00026,스위밍풀앰플[50ml/-],211,0,211,0,0,0,0,,,
2025-09-25,AMZUS,BA00027,퍼플라이스포어팩클렌저[130g/-],"4,138",1,4138,0,0,0,0,,,
2025-09-25,AMZUS,BA00028,퍼플PDRN포어세럼[30ml/-],"2,880",24,2880,0,0,0,0,,,
2025-09-25,AMZUS,BA00029,퍼플라이스포어클렌징오일[200ml/-],"2,155",3,2155,0,0,0,0,,,
2025-09-25,AMZUS,BA00030,콜라겐 하이드로겔 마스크[4EA|30g/타이트업],"7,962",19,7962,0,0,0,0,,,
2025-09-25,AMZUS,BA00031,콜라겐 하이드로겔 마스크[4EA|30g/글로우업],"11,930",57,11930,0,0,0,0,,,
2025-09-25,AMZUS,BA00035,콜라겐 겔 토너 패드[60매|140ml/포어타이트업],"1,816",3,1816,0,0,0,0,,,
2025-09-25,AMZUS,BA00036,콜라겐 겔 토너 패드[60매|140ml/글로우업],"1,720",21,1720,0,0,0,0,,,
2025-09-25,AMZUS,BA00039,바쿠치올플럼핑캡슐크림[50ml/-],"6,677",28,6677,0,0,0,0,,,
2025-09-25,AMZUS,BA00044,바쿠치올플럼핑캡슐토너[150ml/바쿠치올],"2,903",0,2903,0,0,0,0,,,
2025-09-25,AMZUS,BA00045,알로에PDRN카밍세럼[30ml/알로에PDRN],"9,595",4,9595,0,0,0,0,,,
2025-09-25,AMZUS,BA00046,히알토인플러딩세럼[30ml/히알토인],"9,599",4,9599,0,0,0,0,,,
2025-09-25,AMZUS,BA00047,NAD+펩타이드부스팅세럼[30ml/NAD+펩타이드],"22,697",6,22697,0,0,0,0,,,
2025-09-25,AMZUS,BA10019,(AMZ)데일리글로우클렌저[210ml/-],"4,379",11,4379,0,0,0,0,,,
2025-09-25,AcrossBUS,BA00021,바쿠치올플럼핑세럼[30ml/-],"4,909",0,,,,,,,,
2025-09-25,AcrossBUS,BA00022,비타민일루미네이팅세럼[30ml/-],45,0,,,,,,,,
2025-09-25,AcrossBUS,BA00023,스위밍풀토너[300ml/-],"10,231",0,,,,,,,,
2025-09-25,AcrossBUS,BA00025,스위밍풀토너패드[220ml|70매/-],3,0,,,,,,,,
2025-09-25,AcrossBUS,BA00026,스위밍풀앰플[50ml/-],66,0,,,,,,,,
2025-09-25,AcrossBUS,BA00027,퍼플라이스포어팩클렌저[130g/-],"2,791",0,,,,,,,,
2025-09-25,AcrossBUS,BA00028,퍼플PDRN포어세럼[30ml/-],"5,607",0,,,,,,,,
2025-09-25,AcrossBUS,BA00029,퍼플라이스포어클렌징오일[200ml/-],"1,466",0,,,,,,,,
2025-09-25,AcrossBUS,BA00030,콜라겐 하이드로겔 마스크[4EA|30g/타이트업],"12,288",0,,,,,,,,
2025-09-25,AcrossBUS,BA00031,콜라겐 하이드로겔 마스크[4EA|30g/글로우업],"6,271",0,,,,,,,,
2025-09-25,AcrossBUS,BA00039,바쿠치올플럼핑캡슐크림[50ml/-],"4,563",0,,,,,,,,
2025-09-25,AcrossBUS,BA10001,(AMZ)토너[300ml/-],24,0,,,,,,,,
2025-09-25,AcrossBUS,BA10019,(AMZ)데일리글로우클렌저[210ml/-],6,0,,,,,,,,
2025-09-25,AcrossBUS,BA10021,(AMZ)바쿠치올플럼핑세럼[30ml/-],3,0,,,,,,,,
2025-09-25,AcrossBUS,BA10022,(AMZ)비타민일루미네이팅세럼[30ml/-],1,0,,,,,,,,
2025-09-25,태광KR,BA00004,클렌저[200ml/-],7,0,,,,,,,,
2025-09-25,태광KR,BA00010,딥크림[70ml/-],2,0,,,,,,,,
2025-09-25,태광KR,BA00012-1,클렌징오일[200ml]_펌프,132,0,,,,,,,,
2025-09-25,태광KR,BA00019,데일리글로우클렌저[210ml/-],"1,230",0,,,,,,,,
2025-09-25,태광KR,BA00021,바쿠치올플럼핑세럼[30ml/-],"115,214",0,,,,,,,,
2025-09-25,태광KR,BA00022,비타민일루미네이팅세럼[30ml/-],"111,926",0,,,,,,,,
2025-09-25,태광KR,BA00023,스위밍풀토너[300ml/-],"66,905",0,,,,,,,,
2025-09-25,태광KR,BA00024,스위밍풀토너[155ml/-],"99,937",0,,,,,,,,
2025-09-25,태광KR,BA00025,스위밍풀토너패드[220ml|70매/-],"16,713",0,,,,,,,,
2025-09-25,태광KR,BA00026,스위밍풀앰플[50ml/-],"14,246",0,,,,,,,,
2025-09-25,태광KR,BA00027,퍼플라이스포어팩클렌저[130g/-],"19,127",0,,,,,,,,
2025-09-25,태광KR,BA00028,퍼플PDRN포어세럼[30ml/-],"34,449",0,,,,,,,,
2025-09-25,태광KR,BA00029,퍼플라이스포어클렌징오일[200ml/-],"17,040",0,,,,,,,,
2025-09-25,태광KR,BA00030,콜라겐 하이드로겔 마스크[4EA|30g/타이트업],"14,048",0,,,,,,,,
2025-09-25,태광KR,BA00031,콜라겐 하이드로겔 마스크[4EA|30g/글로우업],"8,715",0,,,,,,,,
2025-09-25,태광KR,BA00033,스위밍풀토너[샤쉐|2ml/-],"30,094",0,,,,,,,,
2025-09-25,태광KR,BA00033_SET,스위밍풀토너[2ml|100EA|샤쉐/-],109,0,,,,,,,,
2025-09-25,태광KR,BA00034,바쿠치올플럼핑세럼[샤쉐|2ml/-],"30,180",0,,,,,,,,
2025-09-25,태광KR,BA00034_SET,바쿠치올플럼핑세럼[2ml|100EA|샤쉐/-],52,0,,,,,,,,
2025-09-25,태광KR,BA00035,콜라겐 겔 토너 패드[60매|140ml/포어타이트업],"5,405",0,,,,,,,,
2025-09-25,태광KR,BA00036,콜라겐 겔 토너 패드[60매|140ml/글로우업],"6,499",0,,,,,,,,
2025-09-25,태광KR,BA00037,콜라겐 하이드로겔 마스크[1EA|30g/타이트업],646,0,,,,,,,,
2025-09-25,태광KR,BA00038,콜라겐 하이드로겔 마스크[1EA|30g/글로우업],362,0,,,,,,,,
2025-09-25,태광KR,BA00039,바쿠치올플럼핑캡슐크림[50ml/-],"21,501",0,,,,,,,,
2025-09-25,태광KR,BA00041,비타민일루미네이팅세럼[샤쉐|2ml/-],"28,072",0,,,,,,,,
2025-09-25,태광KR,BA00041_SET,비타민일루미네이팅세럼[2ml|100EA|샤쉐/-],78,0,,,,,,,,
2025-09-25,태광KR,BA00042,콜라겐 하이드로겔 마스크[10EA|30g/타이트업],99,0,,,,,,,,
2025-09-25,태광KR,BA00043,콜라겐 하이드로겔 마스크[10EA|30g/글로우업],12,0,,,,,,,,
2025-09-25,태광KR,BA00044,바쿠치올플럼핑캡슐토너[150ml/바쿠치올],"24,957",0,,,,,,,,
2025-09-25,태광KR,BA00045,알로에PDRN카밍세럼[30ml/알로에PDRN],"74,573",0,,,,,,,,
2025-09-25,태광KR,BA00046,히알토인플러딩세럼[30ml/히알토인],"76,785",0,,,,,,,,
2025-09-25,태광KR,BA00047,NAD+펩타이드부스팅세럼[30ml/NAD+펩타이드],"76,970",0,,,,,,,,
2025-09-25,태광KR,BA00049,(SET)스위밍풀토너스페셜세트[토너|455ml/토너300ml+토너155ml],"2,400",0,,,,,,,,
2025-09-25,태광KR,BA10001,(AMZ)토너[300ml/-],141,0,,,,,,,,
2025-09-25,태광KR,BA10010,(AMZ)딥크림[70ml/-],1,0,,,,,,,,
2025-09-25,태광KR,BA10019,(AMZ)데일리글로우클렌저[210ml/-],29,0,,,,,,,,
2025-09-25,태광KR,BA10021,(AMZ)바쿠치올플럼핑세럼[30ml/-],65,0,,,,,,,,
2025-09-25,태광KR,BA10022,(AMZ)비타민일루미네이팅세럼[30ml/-],1,0,,,,,,,,
2025-09-26,AMZUS,BA00021,바쿠치올플럼핑세럼[30ml/-],"39,451",328,39451,0,0,0,0,,,
2025-09-26,AMZUS,BA00022,비타민일루미네이팅세럼[30ml/-],"131,582","1,899",131582,0,0,0,0,,,
2025-09-26,AMZUS,BA00023,스위밍풀토너[300ml/-],"23,136",198,23136,0,0,0,0,,,
2025-09-26,AMZUS,BA00024,스위밍풀토너[155ml/-],468,0,468,0,0,0,0,,,
2025-09-26,AMZUS,BA00025,스위밍풀토너패드[220ml|70매/-],"1,249",14,1249,0,0,0,0,,,
2025-09-26,AMZUS,BA00026,스위밍풀앰플[50ml/-],211,2,211,0,0,0,0,,,
2025-09-26,AMZUS,BA00027,퍼플라이스포어팩클렌저[130g/-],"4,137",0,4137,0,0,0,0,,,
2025-09-26,AMZUS,BA00028,퍼플PDRN포어세럼[30ml/-],"2,856",16,2856,0,0,0,0,,,
2025-09-26,AMZUS,BA00029,퍼플라이스포어클렌징오일[200ml/-],"2,152",2,2152,0,0,0,0,,,
2025-09-26,AMZUS,BA00030,콜라겐 하이드로겔 마스크[4EA|30g/타이트업],"7,943",15,7943,0,0,0,0,,,
2025-09-26,AMZUS,BA00031,콜라겐 하이드로겔 마스크[4EA|30g/글로우업],"11,873",42,11873,0,0,0,0,,,
2025-09-26,AMZUS,BA00035,콜라겐 겔 토너 패드[60매|140ml/포어타이트업],"1,813",3,1813,0,0,0,0,,,
2025-09-26,AMZUS,BA00036,콜라겐 겔 토너 패드[60매|140ml/글로우업],"1,699",17,1699,0,0,0,0,,,
2025-09-26,AMZUS,BA00039,바쿠치올플럼핑캡슐크림[50ml/-],"6,649",43,6649,0,0,0,0,,,
2025-09-26,AMZUS,BA00044,바쿠치올플럼핑캡슐토너[150ml/바쿠치올],"2,903",0,2903,0,0,0,0,,,
2025-09-26,AMZUS,BA00045,알로에PDRN카밍세럼[30ml/알로에PDRN],"9,591",0,9591,0,0,0,0,,,
2025-09-26,AMZUS,BA00046,히알토인플러딩세럼[30ml/히알토인],"9,595",0,9595,0,0,0,0,,,
2025-09-26,AMZUS,BA00047,NAD+펩타이드부스팅세럼[30ml/NAD+펩타이드],"22,691",0,22691,0,0,0,0,,,
2025-09-26,AMZUS,BA10019,(AMZ)데일리글로우클렌저[210ml/-],"4,368",6,4368,0,0,0,0,,,
2025-09-26,AcrossBUS,BA00021,바쿠치올플럼핑세럼[30ml/-],"4,908",0,,,,,,,,
2025-09-26,AcrossBUS,BA00022,비타민일루미네이팅세럼[30ml/-],45,0,,,,,,,,
2025-09-26,AcrossBUS,BA00023,스위밍풀토너[300ml/-],"10,227",0,,,,,,,,
2025-09-26,AcrossBUS,BA00025,스위밍풀토너패드[220ml|70매/-],3,0,,,,,,,,
2025-09-26,AcrossBUS,BA00026,스위밍풀앰플[50ml/-],66,0,,,,,,,,
2025-09-26,AcrossBUS,BA00027,퍼플라이스포어팩클렌저[130g/-],"2,790",0,,,,,,,,
2025-09-26,AcrossBUS,BA00028,퍼플PDRN포어세럼[30ml/-],"5,606",0,,,,,,,,
2025-09-26,AcrossBUS,BA00029,퍼플라이스포어클렌징오일[200ml/-],"1,465",0,,,,,,,,
2025-09-26,AcrossBUS,BA00030,콜라겐 하이드로겔 마스크[4EA|30g/타이트업],"12,285",0,,,,,,,,
2025-09-26,AcrossBUS,BA00031,콜라겐 하이드로겔 마스크[4EA|30g/글로우업],"6,270",0,,,,,,,,
